Date,HomeQuarentine,HReleased,FacilityQuarentine,FReleased
3/17/2020,17781,360,70,0
3/18/2020,1549,162,8,0
3/19/2020,2698,165,15,1
3/20/2020,5149,275,9,0
3/21/2020,3396,637,13,1
3/22/2020,5990,2119,21,1
3/23/2020,7104,1463,8,4
3/24/2020,6235,3763,7,7
3/25/2020,6219,2977,5,4
3/26/2020,4075,3743,24,11
3/27/2020,3351,4291,23,12
3/28/2020,2091,4039,8,24
3/29/2020,2782,4593,8,24
3/30/2020,1797,4408,7,20
3/31/2020,1907,4731,7,40
4/1/2020,1453,5122,6,8
4/2/2020,1404,3590,9,25
4/3/2020,547,2596,5,8
4/4/2020,457,2957,12,11
4/5/2020,1111,2810,9,5
4/6/2020,709,2068,30,0
4/7/2020,606,1637,32,15
4/8/2020,737,1014,139,21
4/9/2020,1337,842,149,14
4/10/2020,2053,652,421,8
4/11/2020,3845,722,445,6
4/12/2020,4725,633,220,37
4/13/2020,5684,975,484,70
4/14/2020,5083,914,429,125
4/15/2020,11228,1220,542,45
4/16/2020,4499,855,715,70
4/17/2020,4976,808,790,54
4/18/2020,3641,3926,174,100
4/19/2020,3892,1484,479,90
4/20/2020,30809,1757,270,88
4/21/2020,4168,1984,1424,208
4/22/2020,3240,3052,327,120
4/23/2020,3429,3590,548,251
4/24/2020,3128,4865,368,230
4/25/2020,2154,3884,140,173
4/26/2020,2727,3701,164,262
4/27/2020,2213,4358,157,232
4/28/2020,2081,3090,311,141
4/29/2020,2412,2533,132,469
4/30/2020,2067,6795,115,287
5/1/2020,2248,3094,133,368
5/2/2020,1282,2442,261,408
5/3/2020,1943,3007,206,497
5/4/2020,2528,28340,214,208
5/5/2020,2122,3062,355,226
5/6/2020,3145,2803,744,1069
5/7/2020,1851,2337,480,630
5/8/2020,2252,3580,367,396
5/9/2020,1690,3066,65,652
5/10/2020,1956,2635,262,344
5/11/2020,2269,2275,91,164
5/12/2020,1549,2755,117,310
5/13/2020,2192,2231,366,431
5/14/2020,2655,1996,376,302
5/15/2020,2712,1897,85,109
5/16/2020,2450,1632,60,72
5/17/2020,3549,2269,85,89
5/18/2020,3333,2587,79,154
5/19/2020,3462,2201,69,201
5/20/2020,3732,2195,279,92
5/21/2020,3192,2293,120,298
5/22/2020,2495,1754,65,265
5/23/2020,2278,1957,44,131
5/24/2020,3007,2926,56,161
5/25/2020,2252,1947,132,165
5/26/2020,2282,1841,170,27
5/27/2020,2668,2039,121,43
5/28/2020,3924,2328,77,76
5/29/2020,4833,2810,67,108
5/30/2020,2161,2190,59,29
5/31/2020,2874,2976,73,66
6/1/2020,2641,3684,66,68
6/2/2020,2422,3026,84,71
6/3/2020,2349,2956,79,189
6/4/2020,2291,2574,84,60
6/5/2020,2030,2366,215,129
6/6/2020,1732,2717,57,94